"id","name","default_code","categ_id/id","type","tracking","use_expiration_date","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.f310443f-d772-5e62-abac-462bca2adc83","DIAPERS (EXTRA LARGE) ADULT","NM12DAP001","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","700.00","560.00"
"init.297aa022-703d-59c3-a586-d7d02bae5ec7","DIAPERS (LARGE) ADULT","NM12DAP002","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","700.00","560.00"
"init.e8ae69cc-b76b-5b94-aae4-6db03bd72902","DIAPERS (MEDIUM) ADULT","NM12DAP003","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","856.00","684.80"
"init.2bcf7b69-0fd7-5165-a313-2600e84ff544","DISPENSING ENVELOPE PLASTIC RESEALABLE (1X1000)","NP02ENV002","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","658.00","526.40"
"init.1757b677-4494-5c50-b6ab-8cdb6745e441","DISPOSABLE NEEDLES G23","NM12NED006","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","145.00","116.00"
"init.3d7cec38-6b27-5260-861c-6124b6dbd6f7","DOUBLE J STENT WITH GUIDE WIRE SIZE FR6 X 24CM","NM05DJ005","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","5334.00","4267.20"
"init.ad36e4f9-77e0-54c3-b698-c35c30e92890","DOUBLE J STENT WITH GUIDE WIRE/STENT POSITIONER 18 X 3FR","NM05DJS001","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","4750.00","3800.00"
"init.dfb2105f-7748-52de-9b38-944999511094","DOUBLE J STENT WITH GUIDE WIRE/STENT POSITIONER 20 X 4FR","NM05DJS004","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","4750.00","3800.00"
"init.69cc7fb5-2eba-5af7-85a9-e7881004f111","DOUBLE J STENT WITH GUIDE WIRE/STENT POSITIONER 26 X 4.7FR","NM05DJS002","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","4750.00","3800.00"
"init.fd64125e-5914-5fcd-9b66-a3dfc372db7a","DRESSING IV CANNULA ADHESIVE-SZ 7CM X 8.5CM","NM01BAN028","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","18.00","14.40"
"init.a2a2bc60-5325-5c68-be23-0be6f9911ba3","ENDOTRACHEAL CUFFED TUBE - SIZE 5.5","NM05TUB001","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","68.00","54.40"
"init.e9d67d23-3687-5f22-beed-ba517b02a294","ENDOTRACHEAL CUFFED TUBE - SIZE 6.5","NM05TUB003","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","68.00","54.40"
"init.95398103-70e9-5e2b-86ac-928be6dd364d","ENDOTRACHEAL CUFFED TUBE - SIZE 7.0","NM05TUB004","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","68.00","54.40"
"init.8da1fde1-1264-5a93-97d7-09383ffb1998","ENDOTRACHEAL CUFFED TUBE - SIZE 7.5","NM05TUB005","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","68.00","54.40"
"init.c68b8714-4253-5471-b1a7-ac679b1bdd05","ENDOTRACHEAL CUFFED TUBE - SIZE 8.0","NM05TUB006","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","68.00","54.40"
"init.a0d12782-9f27-5430-be36-07a3b325844c","ENDOTRACHEAL TUBE CUFFED SIZE 3.5MM","NM05TUB043","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","68.00","54.40"
"init.6704cf1c-f068-59f7-a331-f7d5ec459378","ENDOTRACHEAL TUBE CUFFED SIZE 4.5MM","NM05TUB044","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","180.00","144.00"
"init.ef67e125-71ea-5975-9d09-b9b47b7e51cd","ENDOTRACHEAL TUBE SIZE 5.0 CUFFED","NM05TUB047","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","68.00","54.40"
"init.25d0f771-690b-5ce2-b1f9-296df18e1c03","ENDOTRACHEAL TUBE UNCUFFED - SIZE 3.0MM","NM05TUB008","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","68.00","54.40"
"init.95737e5f-b0c8-57b9-8121-46eb154f3fd6","ENDOTRACHEAL TUBE UNCUFFED - SIZE 3.5MM","NM05TUB009","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","68.00","54.40"
"init.42957cfd-d190-52b7-b911-7a3035214009","ENDOTRACHEAL TUBE UNCUFFED - SIZE 4.5MM","NM05TUB011","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","68.00","54.40"
"init.0f8cee7f-581b-5064-b01e-35b93b68731a","FEEDING TUBES - SIZE 10 FG","NM05TUB015","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","20.00","16.00"
"init.e31eaacf-de64-5616-831c-b7f2351b41fd","FEEDING TUBES - SIZE 12 FG","NM05TUB016","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","27.00","21.60"
"init.5637bf38-c8c2-5730-bc63-6ed6b4fb5216","FEEDING TUBES - SIZE14 FG","NM05TUB017","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","20.00","16.00"
"init.173a9fe5-cf9e-5102-be9a-25f1922d4900","FEEDING TUBES - SIZE 16 FG","NM05TUB018","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","22.00","17.60"
"init.0ca2642d-6651-5b4f-9197-fe7dcb9c5e93","FEEDING TUBES - SIZE 18 FG","NM05TUB019","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","24.00","19.20"
"init.47a19586-8178-56b2-ba64-0a13eadfd170","FEEDING TUBES - SIZE 20 FG","NM05TUB020","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","45.00","36.00"
"init.ba25c0da-6c12-5a5e-97f8-ba974b5606cf","FEEDING TUBES - SIZE 4 FG","NM05TUB014","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","20.00","16.00"
"init.ec652c64-ab7e-5e33-a3c2-e44fd0a9332a","FEEDING TUBES - SIZE 6 FG","NM05TUB023","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","19.00","15.20"
"init.dba6f05d-0823-50e5-8375-d1e3b812e3e7","FEEDING TUBES - SIZE 8 FG","NM05TUB022","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","19.00","15.20"
"init.6d832b10-4cc0-505d-8ef7-7e885218dbc6","GAUZE SWABS DRESSING 12 PLY 10CM X 10CM STERILE","NM01GAU007","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","227.00","181.60"
"init.83c93ad1-be2f-53ad-92ff-64c6370a9073","GLOVES GYNAECOLOGICAL SIZE 7.5'' STERILE","NM07GLV010","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","4250.00","3400.00"
"init.08360f89-1dbd-521d-8900-488338e42018","GLOVES LATEX EXAMINATION DISPOSABLE MEDIUM","NM07GLV001","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","410.00","328.00"
"init.f184dfb9-598b-572e-a660-bc259be851b1","GLOVES SURGEON - SIZE 7.0 STERILE","NM07GLV005","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1750.00","1400.00"
"init.56e413f7-86a1-5c31-9618-51480996c1be","GLOVES SURGEON - SIZE 7.5 STERILE","","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1250.00","1000.00"
"init.ba1879eb-ad2f-510d-a58b-a08c7c9c79fb","GLOVES SURGEON - SIZE 7.5 STERILE (POWDER FREE)","NM07GLV026","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1900.00","1520.00"
"init.495f2a30-01e1-507e-9e68-9107d4676bcf","GLOVES SURGEON - SIZE 8.0 STERILE","NM07GLV007","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1750.00","1400.00"
"init.585d6ecf-c9e4-56c7-bb39-878d18a9b826","HEMAFUSE-AUTO TRANSFUSION DEVICE (COMPLETE UNIT WITH ACCESSORIES)","NM09SET014","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","482000.00","385600.00"
"init.0ca29d44-f5b5-55d5-b989-550bcea640d5","IDENTIFICATION BAND - ADULT","NM19MAT004","init.categ_products_materials_orders","product","lot","True","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","19.00","15.20"
