"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.046f7f9b-dd1a-5910-b3b1-8f66af1e1168","MEDONIC LYSE","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","24500.00","19600.00"
"init.acfdf16a-53f1-5ff3-947d-a374951fdcfb","MEDONIC MICROCAPILLARIES","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","2350.00","1880.00"
"init.53d7a2b9-1827-522d-a913-19e3c0a8b730","METHANOL AR","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","2185.00","1748.00"
"init.97b6634b-4060-559e-84d5-95c1d026d274","METHYLENE BLUE","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","792.00","633.60"
"init.a942d763-9d71-5a09-ae93-11d018f8d8e6","MICRO PIPPETTE TIPS (BLUE)200 UL -1000UL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","785.00","628.00"
"init.8bed2950-90da-5a7c-8a3d-515294495c3c","MICRO PIPPETTE TIPS (YELLOW)20 UL -200UL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","730.00","584.00"
"init.89499ab0-43c7-5122-806a-24c09f81f1fb","MICROSCOPE SLIDES FROSTED","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","148.00","118.40"
"init.7ffc2f5b-e843-507c-b47e-c2845f0d466c","MICROSCOPE SLIDES (PLAIN)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","207.00","165.60"
"init.96c3defa-2d80-5c1c-9ce1-3796db6ceda9","NEUTRAL RED","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","350.00","280.00"
"init.978acca9-7c3e-561c-a6a4-004e59db5d30","OIL IMMERSION","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","450.00","360.00"
"init.b5c01b75-273e-5f56-872b-961414fa61a7","PAP SMEAR KIT","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","6950.00","5560.00"
"init.4fa76549-4a05-5770-9245-3c7d9c03bb69","PLASTIC CENTRIFUGE TUBES (15MLS) WITH A SCREW CAP","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1233.00","986.40"
"init.740eef5b-43e8-5102-9a8b-9c69dfc0c5e8","PLASTIC CENTRIFUGE TUBES (50MLS) WITH A SCREW CAP","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1217.00","973.60"
"init.a11bbcc5-4daa-5544-83a2-b3457abb3c04","POTASSIUM IODIDE POWDER","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1050.00","840.00"
"init.b8be3dfd-77d5-5db9-a7e1-caa3058920fb","PREGNACY TEST KIT","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","420.00","336.00"
"init.43695218-7826-536f-a69e-c48ef33def7a","RETRACTABLE LANCETS","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1380.00","1104.00"
"init.98f8a395-1910-5fa8-aeca-7b58c02f041f","RHEUMATOID FACTOR KIT 50","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","785.00","628.00"
"init.ed026a50-c0ac-56a1-a210-fad7f764edf1","SALMONELLA ANTIGEN STOOL TEST KIT 25 TESTS","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","3200.00","2560.00"
"init.e101e494-4a6e-53ba-9fde-b78f435d4efc","SODIUM CHLORIDE","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","530.00","424.00"
"init.2df2dbed-93aa-57e5-a8fe-3ee958c1ad1e","SODIUM METABISULPHITE","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","680.00","544.00"
"init.a15080ae-96ad-519d-b3de-2e77fc07823a","SYSTEM CLEANING SOLUTION 1 L","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","14200.00","11360.00"
"init.48b67b9f-cf3c-5d8b-9824-83c786de9c43","SYSTEM SOLUTION 1L","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","4800.00","3840.00"
"init.31009b6a-5841-539b-8609-309234a3d2bb","THIOSULPHATE CITRATE BILE SALT SUCROSE (TCBS)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","6500.00","5200.00"
"init.0638ae69-b805-57e7-b64d-4cd07bbf4047","TUBE CENTRIFUGE 50ML GRADUATED SCREW CAP","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","10900.00","8720.00"
"init.ef8efc1a-e119-5ec5-87cb-a695b1568c1f","UNIVERSAL BOTTLES (GLASS)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","5244.00","4195.20"
"init.b3a71e80-e690-54de-aaea-e93389702f20","URINE CONTAINERS (PLASTIC)","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","10300.00","8240.00"
"init.810882ac-3fc6-5116-89d5-0e6612e4ee5f","URINE STRIP","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","700.00","560.00"
"init.1ff16ee7-ab29-5658-969b-2eef260a1263","VDRL TEST STRIPS-SYPHILIS SCREENING","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","900.00","720.00"
