"id","name","categ_id/id","type","uom_id/id","uom_po_id/id","invoice_policy","lst_price","standard_price"
"init.7a4facb1-67bf-57ed-ad0f-6c2a91d9e3fb","6.5MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 30MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","343.00","274.40"
"init.8c15814d-49d4-5972-a356-af9ca32376b3","6.5MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 35MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","343.00","274.40"
"init.0cfebd17-4371-5a59-97f1-c35ca951947c","6.5MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 40MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","343.00","274.40"
"init.bd79bca3-afaa-5d4a-a656-10d6c8455912","6.5MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 45MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","400.00","320.00"
"init.4c5d2f71-c35e-5860-b5fb-fbf9ca2bceb3","6.5MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 50MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","400.00","320.00"
"init.1b47903a-2f15-5a29-92e4-8f4d16c03877","6.5MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 55MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","400.00","320.00"
"init.986fb493-6c36-5ee3-a64f-cb90579ce94b","6.5MM CANCELLOUS BONE SCREW/FULLY THREADED LENGTH 60MM ST. STEEL","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","400.00","320.00"
"init.d284831c-4c6f-5f20-bc7d-0cc32f7de05f","7.3 CANNULATED SCREW SELF-DRILLING SELF-TAPPING LENGTHN 100 MM SS/TAN","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1500.00","1200.00"
"init.d1ad01eb-8a2a-5604-b1d3-83c7f5fc6e98","7.3 CANNULATED SCREW SELF-DRILLING SELF-TAPPING LENGTHN 105 MM SS/TAN","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1500.00","1200.00"
"init.4c855a76-25b9-5a66-a271-1fbab70f82b0","7.3 CANNULATED SCREW SELF-DRILLING SELF-TAPPING LENGTHN 110 MM SS/TAN","init.categ_products_materials_orders","product","init.a8a0630a-1350-11df-a1f1-0026b9348838","init.a8a0630a-1350-11df-a1f1-0026b9348838","Ordered quantities","1500.00","1200.00"
