odoo_id,odoo_name,csv_file,odoo_lst_price,odoo_default_code
init.8cee709d-7f9f-49ba-b9bd-0666451a3211,DICLOFENAC 50mg SOL INJ,drugs.csv,1.00,
init.29d4b1c4-1113-41e2-afe8-61f8a83d939a,HYDROCORTISONE 100mg SOL INJ,drugs.csv,1.00,
init.fcb0fc13-531a-40f7-b22b-bd4775c13dd4,BENZATHINE PENICILLIN 2.4MU SUSP INJ,drugs.csv,1.00,
init.44028e98-b9db-4705-b7a5-7c8b4b510563,BENZYL PENICILLIN 1MU REC INJ,drugs.csv,1.00,
init.d07b4a1e-1fb5-4ae2-a4d6-0d2daacb939e,CEFTRIAXONE 1g REC INJ,drugs.csv,1.00,
init.c12c7d1e-7b32-4995-a575-661c99cc18d8,CHLORAMPHENICOL 1g REC INJ,drugs.csv,1.00,
init.cf264449-9d52-4bc5-b473-6e78826b4b32,GENTAMICIN 80mg SOL INJ,drugs.csv,1.00,
init.21934204-868a-4c5c-a238-fe18324c9fe3,INSULIN 70/30 SUSP INJ,drugs.csv,1.00,
init.ac7237a9-100a-4b82-b468-638b9bb7bdc4,REGULAR INSULIN SOL INJ,drugs.csv,1.00,
init.0c8c4824-ae27-4234-8ff7-ca76d01fbef9,QUININE 600mg SOL INJ,drugs.csv,1.00,
init.f6171a72-5e69-4915-8184-aa5ae0f314ad,FUROSEMIDE 20mg SOL INJ,drugs.csv,1.00,
init.c598ae97-1165-4d75-8202-1c59c68604d0,DIAZEPAM 10mg SOL INJ,drugs.csv,1.00,
init.adbbe253-498c-4207-8ded-c1b0915eda98,PHENOBARBITONE 120mg SOL INJ,drugs.csv,1.00,
init.9fa4f6fd-37fb-4a9a-aebb-21af3fc691e8,METOCLOPRAMIDE 10mg SOL INJ,drugs.csv,1.00,
init.ebef75ff-b342-4822-946a-271293fe4797,RANITIDINE 50mg SOL INJ,drugs.csv,1.00,
init.e0a36521-aad8-481c-87cd-06b6e044654b,DIDANOSINE 200mg TAB,drugs.csv,1.00,
init.d0f3dcef-b5d9-468e-8fda-f22ceee9f89f,ERGOMETRINE 0.5mg SOL INJ,drugs.csv,1.00,
init.37dc0c3d-9895-47b8-b549-1415c6a53845,LIDOCAINE 2% SOL INJ,drugs.csv,1.00,
